id,status,title,slug,cluster,main_keyword,search_intent,structure_type,published_at,draft_path
"pg-018","done","특허맵 설계 비교 기준: 분야·연도·출원인 축 권리 신호 나누기","patent-map-design-comparison","특허맵 설계","특허맵 설계 비교 기준","비교형","비교형","2026-07-02T00:47:18+09:00","content/posts/patent-map-design-comparison.md"
"pg-019","done","특허맵 설계 실무 순서: 분야·연도·출원인 축 원문 확인 흐름","patent-map-design-workflow","특허맵 설계","특허맵 설계 실무 순서","실행형","절차형","2026-07-02T05:47:18+09:00","content/posts/patent-map-design-workflow.md"
"pg-020","done","특허맵 설계 상황별 해석: 분야·연도·출원인 축 실무 질문 3가지","patent-map-design-situation","특허맵 설계","특허맵 설계 상황별 해석","질문응답형","상황별분기형","2026-07-02T10:47:18+09:00","content/posts/patent-map-design-situation.md"
"pg-021","done","선행기술 조사 판단 기준: 출원 전 공개 문헌 확인표","prior-art-criteria","선행기술 조사","선행기술 조사 판단 기준","의사결정형","판단트리형","2026-07-02T15:47:18+09:00","content/posts/prior-art-criteria.md"
"pg-022","done","선행기술 조사 실수 방지: 출원 전 공개 문헌 누락을 줄이는 법","prior-art-mistake","선행기술 조사","선행기술 조사 실수 방지","문제해결형","실수방지형","2026-07-02T20:47:18+09:00","content/posts/prior-art-mistake.md"
"pg-023","done","선행기술 조사 비교 기준: 출원 전 공개 문헌 권리 신호 나누기","prior-art-comparison","선행기술 조사","선행기술 조사 비교 기준","비교형","비교형","2026-07-03T01:47:18+09:00","content/posts/prior-art-comparison.md"
"pg-024","done","선행기술 조사 실무 순서: 출원 전 공개 문헌 원문 확인 흐름","prior-art-workflow","선행기술 조사","선행기술 조사 실무 순서","실행형","절차형","2026-07-03T06:47:18+09:00","content/posts/prior-art-workflow.md"
"pg-025","done","선행기술 조사 상황별 해석: 출원 전 공개 문헌 실무 질문 3가지","prior-art-situation","선행기술 조사","선행기술 조사 상황별 해석","질문응답형","상황별분기형","2026-07-03T11:47:18+09:00","content/posts/prior-art-situation.md"
"pg-026","done","청구항 해석 판단 기준: 독립항과 종속항 확인표","claim-reading-criteria","청구항 읽기","청구항 해석 판단 기준","의사결정형","판단트리형","2026-07-03T16:47:18+09:00","content/posts/claim-reading-criteria.md"
"pg-027","done","청구항 해석 실수 방지: 독립항과 종속항 누락을 줄이는 법","claim-reading-mistake","청구항 읽기","청구항 해석 실수 방지","문제해결형","실수방지형","2026-07-03T21:47:18+09:00","content/posts/claim-reading-mistake.md"
"pg-028","done","청구항 해석 비교 기준: 독립항과 종속항 권리 신호 나누기","claim-reading-comparison","청구항 읽기","청구항 해석 비교 기준","비교형","비교형","2026-07-04T02:47:18+09:00","content/posts/claim-reading-comparison.md"
"pg-029","done","청구항 해석 실무 순서: 독립항과 종속항 원문 확인 흐름","claim-reading-workflow","청구항 읽기","청구항 해석 실무 순서","실행형","절차형","2026-07-04T07:47:18+09:00","content/posts/claim-reading-workflow.md"
"pg-030","done","청구항 해석 상황별 해석: 독립항과 종속항 실무 질문 3가지","claim-reading-situation","청구항 읽기","청구항 해석 상황별 해석","질문응답형","상황별분기형","2026-07-04T12:47:18+09:00","content/posts/claim-reading-situation.md"
"pg-031","done","특허 명세서 준비 판단 기준: 실험예와 비교예 확인표","spec-writing-criteria","명세서 준비","특허 명세서 준비 판단 기준","의사결정형","판단트리형","2026-07-04T17:47:18+09:00","content/posts/spec-writing-criteria.md"
"pg-032","done","특허 명세서 준비 실수 방지: 실험예와 비교예 누락을 줄이는 법","spec-writing-mistake","명세서 준비","특허 명세서 준비 실수 방지","문제해결형","실수방지형","2026-07-04T22:47:18+09:00","content/posts/spec-writing-mistake.md"
"pg-033","done","특허 명세서 준비 비교 기준: 실험예와 비교예 권리 신호 나누기","spec-writing-comparison","명세서 준비","특허 명세서 준비 비교 기준","비교형","비교형","2026-07-05T03:47:18+09:00","content/posts/spec-writing-comparison.md"
"pg-034","done","특허 명세서 준비 실무 순서: 실험예와 비교예 원문 확인 흐름","spec-writing-workflow","명세서 준비","특허 명세서 준비 실무 순서","실행형","절차형","2026-07-05T08:47:18+09:00","content/posts/spec-writing-workflow.md"
"pg-035","done","특허 명세서 준비 상황별 해석: 실험예와 비교예 실무 질문 3가지","spec-writing-situation","명세서 준비","특허 명세서 준비 상황별 해석","질문응답형","상황별분기형","2026-07-05T13:47:18+09:00","content/posts/spec-writing-situation.md"
"pg-036","done","거절이유 대응 판단 기준: 보정서와 의견서 확인표","office-action-criteria","심사 대응","거절이유 대응 판단 기준","의사결정형","판단트리형","2026-07-05T18:47:18+09:00","content/posts/office-action-criteria.md"
"pg-037","done","거절이유 대응 실수 방지: 보정서와 의견서 누락을 줄이는 법","office-action-mistake","심사 대응","거절이유 대응 실수 방지","문제해결형","실수방지형","2026-07-05T23:47:18+09:00","content/posts/office-action-mistake.md"
"pg-038","done","거절이유 대응 비교 기준: 보정서와 의견서 권리 신호 나누기","office-action-comparison","심사 대응","거절이유 대응 비교 기준","비교형","비교형","2026-07-06T04:47:18+09:00","content/posts/office-action-comparison.md"
"pg-039","done","거절이유 대응 실무 순서: 보정서와 의견서 원문 확인 흐름","office-action-workflow","심사 대응","거절이유 대응 실무 순서","실행형","절차형","2026-07-06T09:47:18+09:00","content/posts/office-action-workflow.md"
"pg-040","done","거절이유 대응 상황별 해석: 보정서와 의견서 실무 질문 3가지","office-action-situation","심사 대응","거절이유 대응 상황별 해석","질문응답형","상황별분기형","2026-07-06T14:47:18+09:00","content/posts/office-action-situation.md"
"pg-041","done","특허 출원 예산 판단 기준: 관납료와 대리인 비용 확인표","filing-budget-criteria","출원 예산","특허 출원 예산 판단 기준","의사결정형","판단트리형","2026-07-06T19:47:18+09:00","content/posts/filing-budget-criteria.md"
"pg-042","done","특허 출원 예산 실수 방지: 관납료와 대리인 비용 누락을 줄이는 법","filing-budget-mistake","출원 예산","특허 출원 예산 실수 방지","문제해결형","실수방지형","2026-07-07T00:47:18+09:00","content/posts/filing-budget-mistake.md"
"pg-043","done","특허 출원 예산 비교 기준: 관납료와 대리인 비용 권리 신호 나누기","filing-budget-comparison","출원 예산","특허 출원 예산 비교 기준","비교형","비교형","2026-07-07T05:47:18+09:00","content/posts/filing-budget-comparison.md"
"pg-044","done","특허 출원 예산 실무 순서: 관납료와 대리인 비용 원문 확인 흐름","filing-budget-workflow","출원 예산","특허 출원 예산 실무 순서","실행형","절차형","2026-07-07T10:47:18+09:00","content/posts/filing-budget-workflow.md"
"pg-045","done","특허 출원 예산 상황별 해석: 관납료와 대리인 비용 실무 질문 3가지","filing-budget-situation","출원 예산","특허 출원 예산 상황별 해석","질문응답형","상황별분기형","2026-07-07T15:47:18+09:00","content/posts/filing-budget-situation.md"
"pg-046","done","PCT 해외 출원 판단 기준: 우선권과 국가단계 확인표","pct-overseas-criteria","해외 출원","PCT 해외 출원 판단 기준","의사결정형","판단트리형","2026-07-07T20:47:18+09:00","content/posts/pct-overseas-criteria.md"
"pg-047","done","PCT 해외 출원 실수 방지: 우선권과 국가단계 누락을 줄이는 법","pct-overseas-mistake","해외 출원","PCT 해외 출원 실수 방지","문제해결형","실수방지형","2026-07-08T01:47:18+09:00","content/posts/pct-overseas-mistake.md"
"pg-048","done","PCT 해외 출원 비교 기준: 우선권과 국가단계 권리 신호 나누기","pct-overseas-comparison","해외 출원","PCT 해외 출원 비교 기준","비교형","비교형","2026-07-08T06:47:18+09:00","content/posts/pct-overseas-comparison.md"
"pg-049","done","PCT 해외 출원 실무 순서: 우선권과 국가단계 원문 확인 흐름","pct-overseas-workflow","해외 출원","PCT 해외 출원 실무 순서","실행형","절차형","2026-07-08T11:47:18+09:00","content/posts/pct-overseas-workflow.md"
"pg-050","done","PCT 해외 출원 상황별 해석: 우선권과 국가단계 실무 질문 3가지","pct-overseas-situation","해외 출원","PCT 해외 출원 상황별 해석","질문응답형","상황별분기형","2026-07-08T16:47:18+09:00","content/posts/pct-overseas-situation.md"
"pg-051","done","특허 패밀리 우선권 판단 기준: 패밀리 국가와 공개번호 확인표","family-priority-criteria","패밀리와 우선권","특허 패밀리 우선권 판단 기준","의사결정형","판단트리형","2026-07-08T21:47:18+09:00","content/posts/family-priority-criteria.md"
"pg-052","done","특허 패밀리 우선권 실수 방지: 패밀리 국가와 공개번호 누락을 줄이는 법","family-priority-mistake","패밀리와 우선권","특허 패밀리 우선권 실수 방지","문제해결형","실수방지형","2026-07-09T02:47:18+09:00","content/posts/family-priority-mistake.md"
"pg-053","done","특허 패밀리 우선권 비교 기준: 패밀리 국가와 공개번호 권리 신호 나누기","family-priority-comparison","패밀리와 우선권","특허 패밀리 우선권 비교 기준","비교형","비교형","2026-07-09T07:47:18+09:00","content/posts/family-priority-comparison.md"
"pg-054","done","특허 패밀리 우선권 실무 순서: 패밀리 국가와 공개번호 원문 확인 흐름","family-priority-workflow","패밀리와 우선권","특허 패밀리 우선권 실무 순서","실행형","절차형","2026-07-09T12:47:18+09:00","content/posts/family-priority-workflow.md"
"pg-055","done","특허 패밀리 우선권 상황별 해석: 패밀리 국가와 공개번호 실무 질문 3가지","family-priority-situation","패밀리와 우선권","특허 패밀리 우선권 상황별 해석","질문응답형","상황별분기형","2026-07-09T17:47:18+09:00","content/posts/family-priority-situation.md"
"pg-056","done","양극재 특허 검색 판단 기준: 고니켈·코발트·망간 조성 확인표","cathode-criteria","양극재 특허","양극재 특허 검색 판단 기준","의사결정형","판단트리형","2026-07-09T22:47:18+09:00","content/posts/cathode-criteria.md"
"pg-057","done","양극재 특허 검색 실수 방지: 고니켈·코발트·망간 조성 누락을 줄이는 법","cathode-mistake","양극재 특허","양극재 특허 검색 실수 방지","문제해결형","실수방지형","2026-07-10T03:47:18+09:00","content/posts/cathode-mistake.md"
"pg-058","done","양극재 특허 검색 비교 기준: 고니켈·코발트·망간 조성 권리 신호 나누기","cathode-comparison","양극재 특허","양극재 특허 검색 비교 기준","비교형","비교형","2026-07-10T08:47:18+09:00","content/posts/cathode-comparison.md"
"pg-059","done","양극재 특허 검색 실무 순서: 고니켈·코발트·망간 조성 원문 확인 흐름","cathode-workflow","양극재 특허","양극재 특허 검색 실무 순서","실행형","절차형","2026-07-10T13:47:18+09:00","content/posts/cathode-workflow.md"
"pg-060","done","양극재 특허 검색 상황별 해석: 고니켈·코발트·망간 조성 실무 질문 3가지","cathode-situation","양극재 특허","양극재 특허 검색 상황별 해석","질문응답형","상황별분기형","2026-07-10T18:47:18+09:00","content/posts/cathode-situation.md"
"pg-061","done","음극재 특허 검색 판단 기준: 흑연·실리콘·리튬금속 확인표","anode-criteria","음극재 특허","음극재 특허 검색 판단 기준","의사결정형","판단트리형","2026-07-10T23:47:18+09:00","content/posts/anode-criteria.md"
"pg-062","done","음극재 특허 검색 실수 방지: 흑연·실리콘·리튬금속 누락을 줄이는 법","anode-mistake","음극재 특허","음극재 특허 검색 실수 방지","문제해결형","실수방지형","2026-07-11T04:47:18+09:00","content/posts/anode-mistake.md"
"pg-063","done","음극재 특허 검색 비교 기준: 흑연·실리콘·리튬금속 권리 신호 나누기","anode-comparison","음극재 특허","음극재 특허 검색 비교 기준","비교형","비교형","2026-07-11T09:47:18+09:00","content/posts/anode-comparison.md"
"pg-064","done","음극재 특허 검색 실무 순서: 흑연·실리콘·리튬금속 원문 확인 흐름","anode-workflow","음극재 특허","음극재 특허 검색 실무 순서","실행형","절차형","2026-07-11T14:47:18+09:00","content/posts/anode-workflow.md"
"pg-065","done","음극재 특허 검색 상황별 해석: 흑연·실리콘·리튬금속 실무 질문 3가지","anode-situation","음극재 특허","음극재 특허 검색 상황별 해석","질문응답형","상황별분기형","2026-07-11T19:47:18+09:00","content/posts/anode-situation.md"
"pg-066","done","전해질 첨가제 특허 판단 기준: 염·용매·첨가제 조합 확인표","electrolyte-criteria","전해질 특허","전해질 첨가제 특허 판단 기준","의사결정형","판단트리형","2026-07-12T00:47:18+09:00","content/posts/electrolyte-criteria.md"
"pg-067","done","전해질 첨가제 특허 실수 방지: 염·용매·첨가제 조합 누락을 줄이는 법","electrolyte-mistake","전해질 특허","전해질 첨가제 특허 실수 방지","문제해결형","실수방지형","2026-07-12T05:47:18+09:00","content/posts/electrolyte-mistake.md"
"pg-068","done","전해질 첨가제 특허 비교 기준: 염·용매·첨가제 조합 권리 신호 나누기","electrolyte-comparison","전해질 특허","전해질 첨가제 특허 비교 기준","비교형","비교형","2026-07-12T10:47:18+09:00","content/posts/electrolyte-comparison.md"
"pg-069","done","전해질 첨가제 특허 실무 순서: 염·용매·첨가제 조합 원문 확인 흐름","electrolyte-workflow","전해질 특허","전해질 첨가제 특허 실무 순서","실행형","절차형","2026-07-12T15:47:18+09:00","content/posts/electrolyte-workflow.md"
"pg-070","done","전해질 첨가제 특허 상황별 해석: 염·용매·첨가제 조합 실무 질문 3가지","electrolyte-situation","전해질 특허","전해질 첨가제 특허 상황별 해석","질문응답형","상황별분기형","2026-07-12T20:47:18+09:00","content/posts/electrolyte-situation.md"
"pg-071","done","분리막 안전 특허 판단 기준: 세라믹 코팅과 내열층 확인표","separator-criteria","분리막 안전","분리막 안전 특허 판단 기준","의사결정형","판단트리형","2026-07-13T01:47:18+09:00","content/posts/separator-criteria.md"
"pg-072","done","분리막 안전 특허 실수 방지: 세라믹 코팅과 내열층 누락을 줄이는 법","separator-mistake","분리막 안전","분리막 안전 특허 실수 방지","문제해결형","실수방지형","2026-07-13T06:47:18+09:00","content/posts/separator-mistake.md"
"pg-073","done","분리막 안전 특허 비교 기준: 세라믹 코팅과 내열층 권리 신호 나누기","separator-comparison","분리막 안전","분리막 안전 특허 비교 기준","비교형","비교형","2026-07-13T11:47:18+09:00","content/posts/separator-comparison.md"
"pg-074","done","분리막 안전 특허 실무 순서: 세라믹 코팅과 내열층 원문 확인 흐름","separator-workflow","분리막 안전","분리막 안전 특허 실무 순서","실행형","절차형","2026-07-13T16:47:18+09:00","content/posts/separator-workflow.md"
"pg-075","done","분리막 안전 특허 상황별 해석: 세라믹 코팅과 내열층 실무 질문 3가지","separator-situation","분리막 안전","분리막 안전 특허 상황별 해석","질문응답형","상황별분기형","2026-07-13T21:47:18+09:00","content/posts/separator-situation.md"
"pg-076","done","전고체 배터리 특허 판단 기준: 황화물·산화물 고체전해질 확인표","solid-state-criteria","전고체 특허","전고체 배터리 특허 판단 기준","의사결정형","판단트리형","2026-07-14T02:47:18+09:00","content/posts/solid-state-criteria.md"
"pg-077","done","전고체 배터리 특허 실수 방지: 황화물·산화물 고체전해질 누락을 줄이는 법","solid-state-mistake","전고체 특허","전고체 배터리 특허 실수 방지","문제해결형","실수방지형","2026-07-14T07:47:18+09:00","content/posts/solid-state-mistake.md"
"pg-078","done","전고체 배터리 특허 비교 기준: 황화물·산화물 고체전해질 권리 신호 나누기","solid-state-comparison","전고체 특허","전고체 배터리 특허 비교 기준","비교형","비교형","2026-07-14T12:47:18+09:00","content/posts/solid-state-comparison.md"
"pg-079","done","전고체 배터리 특허 실무 순서: 황화물·산화물 고체전해질 원문 확인 흐름","solid-state-workflow","전고체 특허","전고체 배터리 특허 실무 순서","실행형","절차형","2026-07-14T17:47:18+09:00","content/posts/solid-state-workflow.md"
"pg-080","done","전고체 배터리 특허 상황별 해석: 황화물·산화물 고체전해질 실무 질문 3가지","solid-state-situation","전고체 특허","전고체 배터리 특허 상황별 해석","질문응답형","상황별분기형","2026-07-14T22:47:18+09:00","content/posts/solid-state-situation.md"
"pg-081","done","BMS 배터리팩 특허 판단 기준: 진단·충전·열관리 확인표","bms-pack-criteria","BMS와 팩","BMS 배터리팩 특허 판단 기준","의사결정형","판단트리형","2026-07-15T03:47:18+09:00","content/posts/bms-pack-criteria.md"
"pg-082","done","BMS 배터리팩 특허 실수 방지: 진단·충전·열관리 누락을 줄이는 법","bms-pack-mistake","BMS와 팩","BMS 배터리팩 특허 실수 방지","문제해결형","실수방지형","2026-07-15T08:47:18+09:00","content/posts/bms-pack-mistake.md"
"pg-083","done","BMS 배터리팩 특허 비교 기준: 진단·충전·열관리 권리 신호 나누기","bms-pack-comparison","BMS와 팩","BMS 배터리팩 특허 비교 기준","비교형","비교형","2026-07-15T13:47:18+09:00","content/posts/bms-pack-comparison.md"
"pg-084","done","BMS 배터리팩 특허 실무 순서: 진단·충전·열관리 원문 확인 흐름","bms-pack-workflow","BMS와 팩","BMS 배터리팩 특허 실무 순서","실행형","절차형","2026-07-15T18:47:18+09:00","content/posts/bms-pack-workflow.md"
"pg-085","done","BMS 배터리팩 특허 상황별 해석: 진단·충전·열관리 실무 질문 3가지","bms-pack-situation","BMS와 팩","BMS 배터리팩 특허 상황별 해석","질문응답형","상황별분기형","2026-07-15T23:47:18+09:00","content/posts/bms-pack-situation.md"
"pg-086","done","기업 특허 포트폴리오 판단 기준: 출원 집중도와 등록률 확인표","portfolio-criteria","기업 포트폴리오","기업 특허 포트폴리오 판단 기준","의사결정형","판단트리형","2026-07-16T04:47:18+09:00","content/posts/portfolio-criteria.md"
"pg-087","done","기업 특허 포트폴리오 실수 방지: 출원 집중도와 등록률 누락을 줄이는 법","portfolio-mistake","기업 포트폴리오","기업 특허 포트폴리오 실수 방지","문제해결형","실수방지형","2026-07-16T09:47:18+09:00","content/posts/portfolio-mistake.md"
"pg-088","done","기업 특허 포트폴리오 비교 기준: 출원 집중도와 등록률 권리 신호 나누기","portfolio-comparison","기업 포트폴리오","기업 특허 포트폴리오 비교 기준","비교형","비교형","2026-07-16T14:47:18+09:00","content/posts/portfolio-comparison.md"
"pg-089","done","기업 특허 포트폴리오 실무 순서: 출원 집중도와 등록률 원문 확인 흐름","portfolio-workflow","기업 포트폴리오","기업 특허 포트폴리오 실무 순서","실행형","절차형","2026-07-16T19:47:18+09:00","content/posts/portfolio-workflow.md"
"pg-090","done","기업 특허 포트폴리오 상황별 해석: 출원 집중도와 등록률 실무 질문 3가지","portfolio-situation","기업 포트폴리오","기업 특허 포트폴리오 상황별 해석","질문응답형","상황별분기형","2026-07-17T00:47:18+09:00","content/posts/portfolio-situation.md"
"pg-091","done","경쟁사 특허 모니터링 판단 기준: 공개공보와 연속 출원 확인표","monitoring-criteria","경쟁사 모니터링","경쟁사 특허 모니터링 판단 기준","의사결정형","판단트리형","2026-07-17T05:47:18+09:00","content/posts/monitoring-criteria.md"
"pg-092","done","경쟁사 특허 모니터링 실수 방지: 공개공보와 연속 출원 누락을 줄이는 법","monitoring-mistake","경쟁사 모니터링","경쟁사 특허 모니터링 실수 방지","문제해결형","실수방지형","2026-07-17T10:47:18+09:00","content/posts/monitoring-mistake.md"
"pg-093","done","경쟁사 특허 모니터링 비교 기준: 공개공보와 연속 출원 권리 신호 나누기","monitoring-comparison","경쟁사 모니터링","경쟁사 특허 모니터링 비교 기준","비교형","비교형","2026-07-17T15:47:18+09:00","content/posts/monitoring-comparison.md"
"pg-094","done","경쟁사 특허 모니터링 실무 순서: 공개공보와 연속 출원 원문 확인 흐름","monitoring-workflow","경쟁사 모니터링","경쟁사 특허 모니터링 실무 순서","실행형","절차형","2026-07-17T20:47:18+09:00","content/posts/monitoring-workflow.md"
"pg-095","done","경쟁사 특허 모니터링 상황별 해석: 공개공보와 연속 출원 실무 질문 3가지","monitoring-situation","경쟁사 모니터링","경쟁사 특허 모니터링 상황별 해석","질문응답형","상황별분기형","2026-07-18T01:47:18+09:00","content/posts/monitoring-situation.md"
"pg-096","done","R&D 특허 분석 판단 기준: 빈 영역과 회피 설계 확인표","rd-decision-criteria","R&D 의사결정","R&D 특허 분석 판단 기준","의사결정형","판단트리형","2026-07-18T06:47:18+09:00","content/posts/rd-decision-criteria.md"
"pg-097","done","R&D 특허 분석 실수 방지: 빈 영역과 회피 설계 누락을 줄이는 법","rd-decision-mistake","R&D 의사결정","R&D 특허 분석 실수 방지","문제해결형","실수방지형","2026-07-18T11:47:18+09:00","content/posts/rd-decision-mistake.md"
"pg-098","done","R&D 특허 분석 비교 기준: 빈 영역과 회피 설계 권리 신호 나누기","rd-decision-comparison","R&D 의사결정","R&D 특허 분석 비교 기준","비교형","비교형","2026-07-18T16:47:18+09:00","content/posts/rd-decision-comparison.md"
"pg-099","done","R&D 특허 분석 실무 순서: 빈 영역과 회피 설계 원문 확인 흐름","rd-decision-workflow","R&D 의사결정","R&D 특허 분석 실무 순서","실행형","절차형","2026-07-18T21:47:18+09:00","content/posts/rd-decision-workflow.md"
"pg-100","done","R&D 특허 분석 상황별 해석: 빈 영역과 회피 설계 실무 질문 3가지","rd-decision-situation","R&D 의사결정","R&D 특허 분석 상황별 해석","질문응답형","상황별분기형","2026-07-19T02:47:18+09:00","content/posts/rd-decision-situation.md"
